Info,Dijkstra - Fastest Path
Number of cars,46528.0
Total time traveled [h],94862.0
Total distance traveled [km],341904.0
Avg. speed [km/h],3.6
Avg. distance per trip [km],7.35
Avg. traveltime per trip [minutes],122.33
