purpose,bin,traveltime,time,cumulative_traveltime
escape,1,8.58866725355893E-5,00:01,8.58866725355893E-5
escape,2,2.1471668133897322E-4,00:02,3.006033538745625E-4
escape,3,2.791316857406652E-4,00:03,5.797350396152277E-4
escape,4,4.2943336267794644E-4,00:04,0.0010091684022931742
escape,5,3.006033538745625E-4,00:05,0.0013097717561677367
escape,6,3.864900264101518E-4,00:06,0.0016962617825778885
escape,7,4.2943336267794644E-4,00:07,0.002125695145255835
escape,8,4.2943336267794644E-4,00:08,0.0025551285079337817
escape,9,2.576600176067679E-4,00:09,0.0028127885255405495
escape,10,6.870933802847144E-4,00:10,0.003499881905825264
escape,11,4.723766989457411E-4,00:11,0.003972258604771005
escape,12,6.01206707749125E-4,00:12,0.00457346531252013
escape,13,8.373950572219956E-4,00:13,0.005410860369742126
escape,14,7.085650484186117E-4,00:14,0.006119425418160737
escape,15,6.441500440169197E-4,00:15,0.006763575462177657
escape,16,0.0010091684022931742,00:16,0.007772743864470831
escape,17,0.0012238850836321473,00:17,0.008996628948102978
escape,18,0.0010306400704270715,00:18,0.01002726901853005
escape,19,0.0011809417473643527,00:19,0.011208210765894401
escape,20,0.0015459601056406072,00:20,0.01275417087153501
escape,21,0.0017821484551134778,00:21,0.014536319326648487
escape,22,0.002318940158460911,00:22,0.016855259485109398
escape,23,0.002211581817791424,00:23,0.019066841302900824
escape,24,0.002383355162862603,00:24,0.021450196465763426
escape,25,0.0023404118265948084,00:25,0.023790608292358233
escape,26,0.0027483735211388575,00:26,0.02653898181349709
escape,27,0.0027483735211388575,00:27,0.029287355334635945
escape,28,0.003328108560754085,00:28,0.03261546389539003
escape,29,0.003328108560754085,00:29,0.035943572456144116
escape,30,0.003478410237691366,00:30,0.03942198269383548
escape,31,0.003650183582762545,00:31,0.04307216627659803
escape,32,0.003521353573959161,00:32,0.046593519850557194
escape,33,0.0036072402464947502,00:33,0.05020076009705195
escape,34,0.0038219569278337235,00:34,0.05402271702488567
escape,35,0.003886371932235415,00:35,0.05790908895712108
escape,36,0.004015201941038799,00:36,0.06192429089815988
escape,37,0.004186975286109978,00:37,0.06611126618426985
escape,38,0.00425139029051167,00:38,0.07036265647478152
escape,39,0.004058145277306594,00:39,0.07442080175208811
escape,40,0.004337276963047259,00:40,0.07875807871513536
escape,41,0.00425139029051167,00:41,0.08300946900564703
escape,42,0.004551993644386233,00:42,0.08756146265003326
escape,43,0.004509050308118438,00:43,0.09207051295815169
escape,44,0.004637880316921822,00:44,0.09670839327507351
escape,45,0.00457346531252013,00:45,0.10128185858759364
escape,46,0.004380220299315053,00:46,0.10566207888690869
escape,47,0.004680823653189617,00:47,0.1103429025400983
escape,48,0.004423163635582848,00:48,0.11476606617568115
escape,49,0.004745238657591308,00:49,0.11951130483327246
escape,50,0.004895540334528589,00:50,0.12440684516780105
escape,51,0.0048311253301268975,00:51,0.12923797049792796
escape,52,0.0051102570158675625,00:52,0.13434822751379552
