purpose,bin,arrival,departure,traveltime,time
escape,10,0.009168402293174156,0.029437657011573228,0.11141648594679321,00:10
escape,20,0.03635153415068817,0.15843943916002834,0.06888111137354261,00:20
escape,30,0.05028664676958753,0.3571167844029803,0.05578339381186524,00:30
escape,40,0.04955661005303502,0.32040023189401584,0.04665793485495888,00:40
escape,50,0.046078199815343654,0.11654821463079466,0.04878363000021472,00:50
escape,60,0.0448972580679793,0.017177334507117857,0.03871341764541687,01:00
escape,70,0.04474695639104202,8.588667253558929E-4,0.04272861958645567,01:10
escape,80,0.04502608807678268,2.1471668133897324E-5,0.03622270414188478,01:20
escape,90,0.0392931526850321,0.0,0.03942198269383548,01:30
escape,100,0.036738024177098316,0.0,0.03519206407145771,01:40
escape,110,0.038777832649818565,0.0,0.04066733944560153,01:50
escape,120,0.03912137933996092,0.0,0.03581474244734073,02:00
escape,130,0.03905696433555923,0.0,0.03491293238571705,02:10
escape,140,0.038863719322354155,0.0,0.040130547742254094,02:20
escape,150,0.03721040087604406,0.0,0.040388207759860864,02:30
escape,160,0.03671655250896442,0.0,0.029652373692912203,02:40
escape,170,0.03437614068236961,0.0,0.028772035299422412,02:50
escape,180,0.03394670731969167,0.0,0.024907135035320892,03:00
escape,190,0.033989650655959464,0.0,0.029394713675305436,03:10
escape,200,0.033968178987825566,0.0,0.030210637064393534,03:20
escape,210,0.026753698494836064,0.0,0.026088076782685248,03:30
escape,220,0.025615700083739507,0.0,0.019131256307302516,03:40
escape,230,0.025615700083739507,0.0,0.021063706439353274,03:50
escape,240,0.025121851716659867,0.0,0.016082279432289095,04:00
escape,250,0.02462800334958023,0.0,0.017971786228072058,04:10
escape,260,0.02091340476241599,0.0,0.013913640950765464,04:20
escape,270,0.020333669722800766,0.0,0.008073347218345394,04:30
escape,280,0.019668048010649947,0.0,0.011014965752689326,04:40
escape,290,0.014235715972773925,0.0,0.008008932213943701,04:50
escape,300,0.008331007235952162,0.0,0.0,05:00
escape,310,0.008438365576621648,0.0,0.0,05:10
escape,320,0.008352478904086058,0.0,0.0,05:20
escape,330,0.0038219569278337235,0.0,0.0,05:30
