Info,FEW_EXITS,MORE_EXITS
Number of cars,46573.0,36243.0
Total time traveled [h],81332.0,8765.0
Total distance traveled [km],240495.0,74423.0
Avg. speed [km/h],2.96,8.49
Avg. distance per trip [km],5.16,2.05
Avg. traveltime per trip [minutes],104.78,14.51
