Info,FASTEST_DIV1,FASTEST_DIV3,SHORTEST_DIV1,SHORTEST_DIV3
Number of cars,46573.0,46573.0,46573.0,46573.0
Total time traveled [h],105742.0,81086.0,153639.0,127813.0
Total distance traveled [km],189497.0,240495.0,178953.0,219964.0
Avg. speed [km/h],1.79,2.97,1.16,1.72
Avg. distance per trip [km],4.07,5.16,3.84,4.72
Avg. traveltime per trip [minutes],136.23,104.46,197.93,164.66
