Info,POLARIS_DIV1,POLARIS_DIV3
Number of cars,46524.0,46526.0
Total time traveled [h],143696.0,104250.0
Total distance traveled [km],164717.0,209221.0
Avg. speed [km/h],1.15,2.01
Avg. distance per trip [km],3.54,4.5
Avg. traveltime per trip [minutes],185.32,134.44
