Info,REALISTIC_POPULATION,UNIFORM_POPULATION
Number of cars,46573.0,46528.0
Total time traveled [h],81332.0,94862.0
Total distance traveled [km],240495.0,341904.0
Avg. speed [km/h],2.96,3.6
Avg. distance per trip [km],5.16,7.35
Avg. traveltime per trip [minutes],104.78,122.33
