Info,AMAGER_FASTEST,AMAGER_SHORTEST
Number of cars,46573.0,46573.0
Total time traveled [h],81086.0,127813.0
Total distance traveled [km],240495.0,219964.0
Avg. speed [km/h],2.97,1.72
Avg. distance per trip [km],5.16,4.72
Avg. traveltime per trip [minutes],104.46,164.66
