link_id,lane_km,road_capacity_utilization,avg_speed,congestion_index,speed_performance_index,simulated_traffic_volume,vol_car
0,0.020555838523897398,5.3472275694497924E-5,49.89872470483456,0.9972911561539692,0.9972911561539692,3.0,3.0
2,0.0272622224755745,5.3472275694497924E-5,49.693059100345735,0.9846460955573415,0.9934170162986775,3.0,3.0
4,0.02950395680558637,0.0,50.00670645014638,1.0,1.0,0.0,0.0
6,0.060038114969572086,3.743059298614854E-4,49.86733601601549,0.997176660358043,0.997176660358043,21.0,21.0
8,0.847235687274848,0.0,50.00407361449034,1.0,1.0,0.0,0.0
9,0.847235687274848,0.0,50.00407361449034,1.0,1.0,0.0,0.0
10,0.03285162793150694,0.006577089910423245,48.35886705407669,0.9588588547563118,0.9670486690166177,369.0,369.0
12,0.0705887655931008,0.0,29.98814681793284,1.0,1.0,0.0,0.0
13,0.0705887655931008,0.0,29.98814681793284,1.0,1.0,0.0,0.0
14,0.10471817845450221,0.0,50.011334894694606,1.0,1.0,0.0,0.0
15,0.10471817845450221,0.0,50.011334894694606,1.0,1.0,0.0,0.0
16,0.1074574922530008,0.0,50.006071886091384,1.0,1.0,0.0,0.0
17,0.1074574922530008,0.0,50.006071886091384,1.0,1.0,0.0,0.0
18,0.06006681532650109,0.0,50.00937446239684,1.0,1.0,0.0,0.0
20,0.016744469751913498,5.703709407413109E-4,49.196433276291074,0.9834480287855674,0.9834480287855674,32.0,32.0
22,0.014574194996176881,0.05650237131718613,48.0282633072253,0.9602628876800559,0.9602628876800559,3170.0,3170.0
24,0.025269582144034863,7.129636759266394E-4,49.82268341996715,0.9962346744420969,0.9962346744420969,40.0,40.0
26,0.017250130946906597,1.4259273518532772E-4,49.44721888053928,0.9881548449276757,0.9881548449276757,8.0,8.0
28,0.023989550599961634,5.703709407413109E-4,49.72275397297491,0.994314780717485,0.994314780717485,32.0,32.0
30,0.02010049729608641,1.4259273518532772E-4,49.57604642148907,0.9913612505580526,0.9913612505580526,8.0,8.0
32,0.022612140150346068,0.0,50.03300832283088,1.0,1.0,0.0,0.0
34,0.019429136340889854,1.4259273518532772E-4,49.50090670077377,0.9893943367052576,0.9893943367052576,8.0,8.0
36,0.057795219704088574,0.0570370940741311,48.257741958067314,0.9407704631756088,0.9648742596845508,3200.0,3200.0
38,0.024865879323199506,0.0024240764981505714,49.78801078035317,0.9955734338101432,0.9955734338101432,136.0,136.0
40,0.16547207560040297,0.0,50.00415278783268,1.0,1.0,0.0,0.0
41,0.16547207560040297,0.0,50.00415278783268,1.0,1.0,0.0,0.0
42,0.024203213941623784,0.056894501338945795,48.044836556371074,0.9338835887804969,0.9605609653849955,3192.0,3192.0
44,0.036012657356065535,0.0,50.01757966120213,1.0,1.0,0.0,0.0
45,0.036012657356065535,0.0,50.01757966120213,1.0,1.0,0.0,0.0
46,0.36909615354330266,0.0,50.005500254248446,1.0,1.0,0.0,0.0
47,0.36909615354330266,0.0,50.005500254248446,1.0,1.0,0.0,0.0
48,0.08687261029168113,0.0,29.990544404492905,1.0,1.0,0.0,0.0
49,0.08687261029168113,0.0,29.990544404492905,1.0,1.0,0.0,0.0
50,0.16067372746801997,0.03117433672989228,49.85375325636085,0.9969485809628519,0.9969485809628519,1749.0,1749.0
52,0.03428961285672918,0.0,50.017263486314846,1.0,1.0,0.0,0.0
53,0.03428961285672918,0.0,50.017263486314846,1.0,1.0,0.0,0.0
54,0.04083608347865523,0.0409062909062909,47.580875181142474,0.9253094171866827,0.951237668746731,2295.0,2295.0
56,0.025948295365252557,3.208336541669876E-4,49.904281167999045,0.997939497126139,0.997939497126139,18.0,18.0
58,0.2623304314762765,0.0,50.0047417830454,1.0,1.0,0.0,0.0
60,0.07313307637215156,0.0,50.00552230574466,1.0,1.0,0.0,0.0
61,0.07313307637215156,0.0,50.00552230574466,1.0,1.0,0.0,0.0
62,0.04689729514648393,0.0,50.008964018762484,1.0,1.0,0.0,0.0
63,0.04689729514648393,0.0,50.008964018762484,1.0,1.0,0.0,0.0
64,0.07042197742116815,0.0,50.013635572342736,1.0,1.0,0.0,0.0
65,0.07042197742116815,0.0,50.013635572342736,1.0,1.0,0.0,0.0
66,0.03576531460579369,0.0,50.02141902908209,1.0,1.0,0.0,0.0
67,0.03576531460579369,0.0,50.02141902908209,1.0,1.0,0.0,0.0
68,0.04358025859084222,1.7824091898165964E-5,50.01241024132355,1.0,1.0,1.0,1.0
70,0.5335405571222952,0.0,50.00510285179409,1.0,1.0,0.0,0.0
71,0.5335405571222952,0.0,50.00510285179409,1.0,1.0,0.0,0.0
72,0.01771851429887105,0.004349078423152499,49.08419310367403,0.9811362234125102,0.9811362234125102,244.0,244.0
74,0.2603073508233226,0.0,50.00568105464042,1.0,1.0,0.0,0.0
75,0.2603073508233226,0.0,50.00568105464042,1.0,1.0,0.0,0.0
76,0.06354728394070751,4.0995411365781734E-4,49.87159590904131,0.997343990254098,0.997343990254098,23.0,23.0
78,0.10207357009977999,0.005329403477551628,49.42173820203598,0.9807807389514435,0.9882632074908134,299.0,299.0
80,0.07155265102857675,0.0,50.007676898248164,1.0,1.0,0.0,0.0
81,0.07155265102857675,0.0,50.007676898248164,1.0,1.0,0.0,0.0
82,0.1071087005883592,0.0,50.011844632696906,1.0,1.0,0.0,0.0
83,0.1071087005883592,0.0,50.011844632696906,1.0,1.0,0.0,0.0
84,0.1267480366428471,5.3472275694497924E-5,49.91891684716199,0.9981773513083224,0.9981773513083224,3.0,3.0
86,0.030064086164787496,0.0,50.01419140167975,1.0,1.0,0.0,0.0
88,0.051003329550528206,0.0017467610060202643,49.84547338697138,0.9965827705412529,0.9965827705412529,98.0,98.0
90,0.03740185775348821,0.0013189828004642825,49.742370989139374,0.99451211401772,0.99451211401772,74.0,74.0
92,0.23960514959878426,0.0,50.004552959746285,1.0,1.0,0.0,0.0
93,0.23960514959878426,0.0,50.004552959746285,1.0,1.0,0.0,0.0
94,0.011149357557950232,0.0,50.046991531946176,1.0,1.0,0.0,0.0
95,0.011149357557950232,0.0,50.046991531946176,1.0,1.0,0.0,0.0
96,0.028567685088599432,0.0,50.021238481983445,1.0,1.0,0.0,0.0
98,0.024164486766194843,0.0,50.02423942398012,1.0,1.0,0.0,0.0
99,0.024164486766194843,0.0,50.02423942398012,1.0,1.0,0.0,0.0
100,0.03970435807087074,6.23843216435809E-4,49.08311120102987,0.9641052586822434,0.9814210347289734,35.0,35.0
102,0.04306841920537699,0.0,50.0149384320507,1.0,1.0,0.0,0.0
104,0.20738043311103993,0.0,69.98870902781887,1.0,1.0,0.0,0.0
105,0.20738043311103993,0.0,69.98870902781887,1.0,1.0,0.0,0.0
106,0.38898585758024734,0.006862275380793902,49.69086023315353,0.9937137139539296,0.9937137139539296,385.0,385.0
108,0.03447161271373338,0.007486118597229711,49.29758386393226,0.9855929027579912,0.9855929027579912,420.0,420.0
110,0.12261485163484052,0.0,50.007189972292494,1.0,1.0,0.0,0.0
111,0.12261485163484052,0.0,50.007189972292494,1.0,1.0,0.0,0.0
112,0.1570382841407735,0.0,50.012192401520224,1.0,1.0,0.0,0.0
113,0.1570382841407735,0.0,50.012192401520224,1.0,1.0,0.0,0.0
114,0.22636126763436265,0.0,50.00617105324654,1.0,1.0,0.0,0.0
115,0.22636126763436265,0.0,50.00617105324654,1.0,1.0,0.0,0.0
116,0.06894446273684247,0.0,50.010087820397516,1.0,1.0,0.0,0.0
117,0.06894446273684247,0.0,50.010087820397516,1.0,1.0,0.0,0.0
118,0.28556371677375764,1.604168270834938E-4,50.00629343250936,1.0,1.0,9.0,9.0
120,0.03675336359984564,2.1990704089567267E-5,29.989145276392634,1.0,1.0,1.0,1.0
122,0.06469106989862157,0.0,29.9881343851452,1.0,1.0,0.0,0.0
124,0.2943069113564016,0.004310178001555181,29.671886996392548,0.9816577801535016,0.9894325957602242,196.0,196.0
126,0.10751164587620073,0.0,29.98930149963758,1.0,1.0,0.0,0.0
127,0.10751164587620073,0.0,29.98930149963758,1.0,1.0,0.0,0.0
