purpose,bin,arrival,departure,traveltime,time
escape,10,0.009919910677860563,0.027612565220191957,0.12760612371975177,00:10
escape,20,0.028986751980761387,0.1548751422498014,0.029437657011573228,00:20
escape,30,0.03897107766302364,0.35784682111953275,0.022352006527387114,00:30
escape,40,0.04116118781268117,0.3233418504283598,0.024842720030919203,00:40
escape,50,0.037081570867240676,0.1186739097760505,0.0360938741330814,00:50
escape,60,0.03014622205999184,0.016726429476306013,0.026131020118953043,01:00
escape,70,0.025873360101346273,9.018100616236876E-4,0.030919202112812145,01:10
escape,80,0.025637171751873404,2.1471668133897324E-5,0.02022631138213128,01:20
escape,90,0.025615700083739507,0.0,0.02069868808107702,01:30
escape,100,0.025615700083739507,0.0,0.026173963455220835,01:40
escape,110,0.025615700083739507,0.0,0.02879350696755631,01:50
escape,120,0.025615700083739507,0.0,0.030725957099607067,02:00
escape,130,0.025615700083739507,0.0,0.023210873252743007,02:10
escape,140,0.025615700083739507,0.0,0.015652846069611148,02:20
escape,150,0.025615700083739507,0.0,0.015094582698129818,02:30
escape,160,0.025615700083739507,0.0,0.01211002082751809,02:40
escape,170,0.018508577931419492,0.0,0.018143559573143238,02:50
escape,180,0.01724174951151955,0.0,0.02020483971399738,03:00
escape,190,0.017263221179653447,0.0,0.020655744744809225,03:10
escape,200,0.01724174951151955,0.0,0.018422691258883902,03:20
escape,210,0.017263221179653447,0.0,0.01820797457754493,03:30
escape,220,0.01724174951151955,0.0,0.017069976166448373,03:40
escape,230,0.01724174951151955,0.0,0.01507311102999592,03:50
escape,240,0.017263221179653447,0.0,0.012303265840723165,04:00
escape,250,0.016876731153243296,0.0,0.02044102806347025,04:10
escape,260,0.016726429476306013,0.0,0.014965752689326433,04:20
escape,270,0.01674790114443991,0.0,0.017112919502716165,04:30
escape,280,0.016726429476306013,0.0,0.018980954630365234,04:40
escape,290,0.016726429476306013,0.0,0.02022631138213128,04:50
escape,300,0.016726429476306013,0.0,0.020784574753612606,05:00
escape,310,0.016726429476306013,0.0,0.016812316148841603,05:10
escape,320,0.01674790114443991,0.0,0.017606767869795804,05:20
escape,330,0.016726429476306013,0.0,0.01885212462156185,05:30
escape,340,0.016726429476306013,0.0,0.008846327271165697,05:40
escape,350,0.016726429476306013,0.0,0.002641015180469371,05:50
escape,360,0.01674790114443991,0.0,0.004723766989457411,06:00
escape,370,0.015889034419084017,0.0,0.011809417473643528,06:10
escape,380,0.008352478904086058,0.0,0.009211345629441951,06:20
escape,390,0.008373950572219955,0.0,0.009490477315182617,06:30
escape,400,0.008352478904086058,0.0,0.009898439009726666,06:40
escape,410,0.008373950572219955,0.0,0.003521353573959161,06:50
escape,420,0.008373950572219955,0.0,0.010048740686663947,07:00
escape,430,0.008352478904086058,0.0,0.008545723917291134,07:10
escape,440,0.008373950572219955,0.0,0.01011315569106564,07:20
escape,450,0.008373950572219955,0.0,0.004272861958645567,07:30
escape,460,0.008352478904086058,0.0,0.007665385523801344,07:40
escape,470,0.008373950572219955,0.0,0.01178794580550963,07:50
escape,480,0.008352478904086058,0.0,0.006398557103901402,08:00
escape,490,0.008373950572219955,0.0,0.008073347218345394,08:10
escape,500,0.008373950572219955,0.0,0.009275760633843643,08:20
escape,510,0.008352478904086058,0.0,0.011122324093358813,08:30
escape,520,0.008373950572219955,0.0,0.009039572284370773,08:40
escape,530,0.008352478904086058,0.0,0.00633414209949971,08:50
escape,540,0.008373950572219955,0.0,0.007558027183131858,09:00
escape,550,0.008373950572219955,0.0,0.009769609000923283,09:10
escape,560,0.008352478904086058,0.0,0.01049964571747579,09:20
escape,570,0.008373950572219955,0.0,0.012238850836321475,09:30
escape,580,0.008352478904086058,0.0,0.0011809417473643527,09:40
escape,590,0.008373950572219955,0.0,0.0,09:50
escape,600,0.008373950572219955,0.0,0.0,10:00
escape,610,0.008352478904086058,0.0,0.0,10:10
escape,620,4.509050308118438E-4,0.0,0.0,10:20
