purpose,bin,arrival,departure,traveltime,time
escape,10,0.016334188670915763,0.028364097894765884,0.6450349032916701,00:10
escape,20,0.10592390254669867,0.15920315647159453,0.09728775211765031,00:20
escape,30,0.1965620947493309,0.3509367326104351,0.07824959302485997,00:30
escape,40,0.20083878266147945,0.3256904781613001,0.05347239466931546,00:40
escape,50,0.15580939767679275,0.1181469525149684,0.06243964351736887,00:50
escape,60,0.10755180310680683,0.016858427834340425,0.03920757111718125,01:00
escape,70,0.0797395359103827,8.001545125955356E-4,0.008305052010043319,01:10
escape,80,0.05223077559804652,0.0,0.016003090251910712,01:20
escape,90,0.04505697651960378,0.0,0.0,01:30
escape,100,0.0217421295146649,0.0,0.0,01:40
escape,110,0.010843473222415363,0.0,0.0,01:50
escape,120,0.007366939822862345,0.0,0.0,02:00
