purpose,h,arrival,departure
escape,0,0.189564701587881,0.9988136521263005
escape,1,0.16355630589523637,0.0011863478736995803
escape,2,0.14592078846504836,0.0
escape,3,0.10982843584595729,0.0
escape,4,0.10665723672202956,0.0
escape,5,0.08477824420514693,0.0
escape,6,0.053340025552108046,0.0
escape,7,0.05331721116992152,0.0
escape,8,0.053340025552108046,0.0
escape,9,0.039697025004562875,0.0
