purpose,bin,traveltime,time,cumulative_traveltime
escape,1,2.1493358552207367E-5,00:01,2.1493358552207367E-5
escape,2,1.0746679276103683E-4,00:02,1.289601513132442E-4
escape,3,1.7194686841765893E-4,00:03,3.009070197309031E-4
escape,4,3.2240037828311054E-4,00:04,6.233073980140137E-4
escape,5,4.513605295963547E-4,00:05,0.0010746679276103684
escape,6,6.662941151184284E-4,00:06,0.0017409620427287966
escape,7,6.448007565662211E-4,00:07,0.002385762799295018
escape,8,9.242144177449168E-4,00:08,0.0033099772170399346
escape,9,0.0011821347203714052,00:09,0.0044921119374113395
escape,10,0.00122512143747582,00:10,0.00571723337488716
escape,11,0.0021278424966685292,00:11,0.007845075871555689
escape,12,0.00245024287495164,00:12,0.01029531874650733
escape,13,0.002622189743369299,00:13,0.012917508489876628
escape,14,0.0028801100459957874,00:14,0.015797618535872415
escape,15,0.0028156299703391654,00:15,0.018613248506211582
escape,16,0.003030563555861239,00:16,0.02164381206207282
escape,17,0.0033529639341443496,00:17,0.02499677599621717
escape,18,0.0034389373683531787,00:18,0.028435713364570347
escape,19,0.003847311180845119,00:19,0.03228302454541546
escape,20,0.0037613377466362893,00:20,0.036044362292051754
escape,21,0.003911791256501741,00:21,0.039956153548553495
escape,22,0.0040837381249194,00:22,0.04403989167347289
escape,23,0.004148218200576022,00:23,0.048188109874048916
escape,24,0.0042986717104414734,00:24,0.05248678158449039
escape,25,0.004105231483471607,00:25,0.056592013067961994
escape,26,0.004234191634784851,00:26,0.06082620470274684
escape,27,0.004062244766367192,00:27,0.06488844946911404
escape,28,0.004212698276232644,00:28,0.06910114774534669
escape,29,0.004212698276232644,00:29,0.07331384602157934
escape,30,0.004148218200576022,00:30,0.07746206422215536
escape,31,0.004212698276232644,00:31,0.08167476249838801
escape,32,0.0043631517860980955,00:32,0.08603791428448611
escape,33,0.0041912049176804364,00:33,0.09022911920216654
escape,34,0.004234191634784851,00:34,0.09446331083695139
escape,35,0.0040837381249194,00:35,0.09854704896187079
escape,36,0.004234191634784851,00:36,0.10278124059665564
escape,37,0.0042556849933370585,00:37,0.1070369255899927
escape,38,0.004062244766367192,00:38,0.1110991703563599
escape,39,0.004105231483471607,00:39,0.11520440183983151
escape,40,0.004320165068993681,00:40,0.1195245669088252
escape,41,0.0041912049176804364,00:41,0.12371577182650563
escape,42,0.0042986717104414734,00:42,0.1280144435369471
escape,43,0.0042986717104414734,00:43,0.1323131152473886
escape,44,0.004105231483471607,00:44,0.1364183467308602
escape,45,0.0042986717104414734,00:45,0.1407170184413017
escape,46,0.004277178351889266,00:46,0.14499419679319095
escape,47,0.003933284615053948,00:47,0.1489274814082449
escape,48,0.00399776469071057,00:48,0.15292524609895547
escape,49,0.004105231483471607,00:49,0.15703047758242708
escape,50,0.0041912049176804364,00:50,0.16122168250010752
escape,51,0.004234191634784851,00:51,0.16545587413489238
escape,52,0.004105231483471607,00:52,0.169561105618364
escape,53,0.004234191634784851,00:53,0.17379529725314885
escape,54,0.0040837381249194,00:54,0.17787903537806826
escape,55,0.004169711559128229,00:55,0.1820487469371965
escape,56,0.004169711559128229,00:56,0.18621845849632473
escape,57,0.004212698276232644,00:57,0.19043115677255737
escape,58,0.004277178351889266,00:58,0.19470833512444663
escape,59,0.00399776469071057,00:59,0.1987060998151572
escape,60,0.004148218200576022,01:00,0.2028543180157332
escape,61,0.004105231483471607,01:01,0.2069595494992048
escape,62,0.004320165068993681,01:02,0.2112797145681985
escape,63,0.004277178351889266,01:03,0.21555689292008776
escape,64,0.004277178351889266,01:04,0.21983407127197702
escape,65,0.004277178351889266,01:05,0.22411124962386628
escape,66,0.004126724842023814,01:06,0.2282379744658901
escape,67,0.004126724842023814,01:07,0.2323646993079139
escape,68,0.004148218200576022,01:08,0.2365129175084899
escape,69,0.004148218200576022,01:09,0.24066113570906592
escape,70,0.004169711559128229,01:10,0.24483084726819415
escape,71,0.004212698276232644,01:11,0.2490435455444268
escape,72,0.004234191634784851,01:12,0.25327773717921165
escape,73,0.0041912049176804364,01:13,0.2574689420968921
escape,74,0.0040837381249194,01:14,0.2615526802218115
escape,75,0.004019258049262777,01:15,0.2655719382710743
escape,76,0.004126724842023814,01:16,0.2696986631130981
escape,77,0.004105231483471607,01:17,0.2738038945965697
escape,78,0.004062244766367192,01:18,0.27786613936293686
escape,79,0.0040837381249194,01:19,0.28194987748785627
escape,80,0.004212698276232644,01:20,0.28616257576408893
escape,81,0.004169711559128229,01:21,0.29033228732321714
escape,82,0.004062244766367192,01:22,0.2943945320895843
escape,83,0.00399776469071057,01:23,0.2983922967802949
escape,84,0.0040837381249194,01:24,0.3024760349052143
escape,85,0.00399776469071057,01:25,0.30647379959592486
escape,86,0.003976271332158363,01:26,0.31045007092808324
escape,87,0.0038688045393973263,01:27,0.31431887546748055
escape,88,0.0038688045393973263,01:28,0.31818768000687786
escape,89,0.0038902978979495338,01:29,0.3220779779048274
escape,90,0.004062244766367192,01:30,0.3261402226711946
escape,91,0.0040837381249194,01:31,0.330223960796114
escape,92,0.004040751407814985,01:32,0.33426471220392895
escape,93,0.004019258049262777,01:33,0.33828397025319173
escape,94,0.0038258178222929113,01:34,0.34210978807548464
escape,95,0.004169711559128229,01:35,0.34627949963461285
escape,96,0.0033099772170399346,01:36,0.3495894768516528
escape,97,0.002987576838756824,01:37,0.35257705369040965
escape,98,0.003202510424278898,01:38,0.35577956411468853
escape,99,0.003052056914413446,01:39,0.358831621029102
escape,100,0.002923096763100202,01:40,0.3617547177922022
escape,101,0.002987576838756824,01:41,0.36474229463095903
escape,102,0.002923096763100202,01:42,0.36766539139405924
escape,103,0.003030563555861239,01:43,0.37069595494992047
escape,104,0.0033744572926965566,01:44,0.374070412242617
escape,105,0.003224003782831105,01:45,0.3772944160254481
escape,106,0.0030735502729656535,01:46,0.38036796629841374
escape,107,0.002923096763100202,01:47,0.38329106306151395
escape,108,0.0031380303486222756,01:48,0.3864290934101362
escape,109,0.0033099772170399346,01:49,0.38973907062717617
escape,110,0.003030563555861239,01:50,0.3927696341830374
escape,111,0.0033744572926965566,01:51,0.39614409147573393
escape,112,0.00326699049993552,01:52,0.39941108197566944
escape,113,0.003288483858487727,01:53,0.40269956583415717
escape,114,0.00326699049993552,01:54,0.4059665563340927
escape,115,0.0028371233288913725,01:55,0.40880367966298403
escape,116,0.0031380303486222756,01:56,0.4119417100116063
escape,117,0.003095043631517861,01:57,0.41503675364312415
escape,118,0.003331470575592142,01:58,0.4183682242187163
escape,119,0.003052056914413446,01:59,0.42142028113312974
escape,120,0.002923096763100202,02:00,0.42434337789622995
escape,121,0.002987576838756824,02:01,0.4273309547349868
escape,122,0.00285861668744358,02:02,0.43018957142243036
escape,123,0.0032454971413833126,02:03,0.4334350685638137
escape,124,0.0034389373683531787,02:04,0.43687400593216685
escape,125,0.0033099772170399346,02:05,0.4401839831492068
escape,126,0.003030563555861239,02:06,0.44321454670506805
escape,127,0.0029016034045479945,02:07,0.446116150109616
escape,128,0.0028156299703391654,02:08,0.4489317800799552
escape,129,0.003052056914413446,02:09,0.45198383699436867
escape,130,0.0031810170657266905,02:10,0.4551648540600954
escape,131,0.0031810170657266905,02:11,0.4583458711258221
escape,132,0.0030735502729656535,02:12,0.4614194213987877
escape,133,0.003202510424278898,02:13,0.4646219318230666
escape,134,0.0031380303486222756,02:14,0.46775996217168886
escape,135,0.0031165369900700685,02:15,0.47087649916175894
escape,136,0.002966083480204617,02:16,0.47384258264196355
escape,137,0.003030563555861239,02:17,0.4768731461978248
escape,138,0.002923096763100202,02:18,0.479796242960925
escape,139,0.002923096763100202,02:19,0.4827193397240252
escape,140,0.0028156299703391654,02:20,0.4855349696943644
escape,141,0.002987576838756824,02:21,0.4885225465331212
escape,142,0.00285861668744358,02:22,0.4913811632205648
escape,143,0.003052056914413446,02:23,0.49443322013497826
escape,144,0.003095043631517861,02:24,0.4975282637664961
escape,145,0.002966083480204617,02:25,0.5004943472467007
escape,146,0.002794136611786958,02:26,0.5032884838584877
escape,147,0.002794136611786958,02:27,0.5060826204702746
escape,148,0.002794136611786958,02:28,0.5088767570820616
escape,149,0.003030563555861239,02:29,0.5119073206379229
escape,150,0.0029445901216524095,02:30,0.5148519107595753
escape,151,0.0028801100459957874,02:31,0.517732020805571
escape,152,0.0028801100459957874,02:32,0.5206121308515668
escape,153,0.0029445901216524095,02:33,0.5235567209732191
escape,154,0.003095043631517861,02:34,0.5266517646047371
escape,155,0.0028156299703391654,02:35,0.5294673945750762
escape,156,0.0028156299703391654,02:36,0.5322830245454153
escape,157,0.0028156299703391654,02:37,0.5350986545157544
escape,158,0.002729656536130336,02:38,0.5378283110518848
escape,159,0.0028371233288913725,02:39,0.5406654343807762
escape,160,0.0028156299703391654,02:40,0.5434810643511153
escape,161,0.0026006963848170914,02:41,0.5460817607359324
escape,162,0.0027081631775781284,02:42,0.5487899239135106
escape,163,0.00285861668744358,02:43,0.5516485406009541
escape,164,0.0029016034045479945,02:44,0.5545501440055022
escape,165,0.002622189743369299,02:45,0.5571723337488714
escape,166,0.002622189743369299,02:46,0.5597945234922407
escape,167,0.0026436831019215064,02:47,0.5624382065941622
escape,168,0.002493229592056055,02:48,0.5649314361862182
escape,169,0.0025362163091604694,02:49,0.5674676524953787
escape,170,0.0024072561578472253,02:50,0.5698749086532259
escape,171,0.002385762799295018,02:51,0.5722606714525209
escape,172,0.0023642694407428103,02:52,0.5746249408932638
escape,173,0.0023427760821906033,02:53,0.5769677169754543
escape,174,0.0023642694407428103,02:54,0.5793319864161972
escape,175,0.002514722950608262,02:55,0.5818467093668055
escape,176,0.002514722950608262,02:56,0.5843614323174138
escape,177,0.002514722950608262,02:57,0.5868761552680221
escape,178,0.0024717362335038473,02:58,0.5893478915015259
escape,179,0.002493229592056055,02:59,0.5918411210935819
escape,180,0.002514722950608262,03:00,0.5943558440441902
escape,181,0.00245024287495164,03:01,0.5968060869191418
escape,182,0.0024072561578472253,03:02,0.599213343076989
escape,183,0.0024717362335038473,03:03,0.6016850793104929
escape,184,0.002493229592056055,03:04,0.6041783089025489
escape,185,0.002493229592056055,03:05,0.6066715384946049
escape,186,0.002493229592056055,03:06,0.6091647680866609
escape,187,0.002385762799295018,03:07,0.6115505308859559
escape,188,0.0023642694407428103,03:08,0.6139148003266988
escape,189,0.0022138159308773588,03:09,0.6161286162575761
escape,190,0.0021923225723251517,03:10,0.6183209388299012
escape,191,0.0024072561578472253,03:11,0.6207281949877484
escape,192,0.0024072561578472253,03:12,0.6231354511455957
escape,193,0.002493229592056055,03:13,0.6256286807376517
escape,194,0.0024717362335038473,03:14,0.6281004169711555
escape,195,0.0023212827236383958,03:15,0.6304216996947939
escape,196,0.0022353092894295662,03:16,0.6326570089842235
escape,197,0.0023212827236383958,03:17,0.6349782917078619
escape,198,0.0024287495163994328,03:18,0.6374070412242614
escape,199,0.002493229592056055,03:19,0.6399002708163174
escape,200,0.0023212827236383958,03:20,0.6422215535399558
escape,201,0.00245024287495164,03:21,0.6446717964149075
escape,202,0.002385762799295018,03:22,0.6470575592142025
escape,203,0.0024287495163994328,03:23,0.649486308730602
