dist_group,main_mode,share
0 - 1000,car,0.023060571575805724
1000 - 2000,car,0.10093831189745131
2000 - 5000,car,0.49451398879178926
5000 - 10000,car,0.30902024778305026
10000 - 20000,car,0.07246687995190346
