link_id,lane_km,Avg. speed limit,road_capacity_utilization,congestion_index,speed_performance_index,Simulated traffic volume,vol_car
0,0.020555838523897398,49.72985123973962,5.3472222222222244E-5,0.9945835455595897,0.9945835455595897,3.0,3.0
2,0.0272622224755745,49.695926013990004,5.3472222222222244E-5,0.9846928334330908,0.9934793334663433,3.0,3.0
4,0.02950395680558637,50.00670645014638,0.0,1.0,1.0,0.0,0.0
6,0.060038114969572086,49.79669885390992,3.743055555555557E-4,0.9957671517363075,0.9957671517363075,21.0,21.0
8,0.847235687274848,50.00079465884349,0.0,1.0,1.0,0.0,0.0
9,0.847235687274848,50.00079465884349,0.0,1.0,1.0,0.0,0.0
10,0.03285162793150694,48.32996317457763,0.006577083333333334,0.9587152107338637,0.9664721219868244,369.0,369.0
12,0.0705887655931008,30.00230887073942,0.0,1.0,1.0,0.0,0.0
13,0.0705887655931008,30.00230887073942,0.0,1.0,1.0,0.0,0.0
14,0.10471817845450221,50.011334894694606,0.0,1.0,1.0,0.0,0.0
15,0.10471817845450221,50.011334894694606,0.0,1.0,1.0,0.0,0.0
16,0.1074574922530008,50.006071886091384,0.0,1.0,1.0,0.0,0.0
17,0.1074574922530008,50.006071886091384,0.0,1.0,1.0,0.0,0.0
18,0.06006681532650109,50.00937446239684,0.0,1.0,1.0,0.0,0.0
20,0.016744469751913498,49.196433276291074,5.703703703703704E-4,0.9834500379612036,0.9834500379612036,32.0,32.0
22,0.014574194996176881,48.034407121098326,0.05650231481481483,0.9603892516551973,0.9603892516551973,3170.0,3170.0
24,0.025269582144034863,49.79713293187213,7.129629629629626E-4,0.9957266967874852,0.9957266967874852,40.0,40.0
26,0.017250130946906597,49.21079022909188,1.425925925925926E-4,0.9842085297536932,0.9842085297536932,8.0,8.0
28,0.023989550599961634,49.72275397297491,5.703703703703704E-4,0.9943176592332758,0.9943176592332758,32.0,32.0
30,0.02010049729608641,49.43201253666613,1.425925925925926E-4,0.988484079277463,0.988484079277463,8.0,8.0
32,0.022612140150346068,50.002275516735786,0.0,1.0,1.0,0.0,0.0
