purpose,bin,arrival,departure,traveltime,time
escape,10,0.01649007752231847,0.02808999412422525,0.37965086525521713,00:10
escape,20,0.08178699368828067,0.1546276464679012,0.07699160332834208,00:20
escape,30,0.1157527625618378,0.35794840690687846,0.0692962338179268,00:30
escape,40,0.11120377565912924,0.322409446729468,0.06131655262609223,00:40
escape,50,0.10240906764722607,0.11920241096305843,0.0629845144904187,00:50
escape,60,0.08273469929301162,0.016736480979548513,0.07206353418374116,01:00
escape,70,0.06446293523379898,9.287514926363275E-4,0.056824428059667545,01:10
escape,80,0.06366686252582497,5.6862336283856785E-5,0.04077029511552532,01:20
escape,90,0.0621884417824447,0.0,0.04164218427187778,01:30
escape,100,0.056881290395951405,0.0,0.03661934456680377,01:40
escape,110,0.04973559013628007,0.0,0.03677097746356072,01:50
escape,120,0.04641862051972175,0.0,0.03072461570537728,02:00
escape,130,0.03533046494436968,0.0,0.0313501014044997,02:10
escape,140,0.03318865027767774,0.0,0.0029947497109497905,02:20
escape,150,0.034496484012206445,0.0,0.0,02:30
escape,160,0.029587368979700147,0.0,0.0,02:40
escape,170,0.013665914820220247,0.0,0.0,02:50
