purpose,bin,arrival,departure,traveltime,time
escape,10,0.01773236155984672,0.02967916447516718,0.35382072281914495,00:10
escape,20,0.07853708017131264,0.152753775640544,0.07134270042828161,00:20
escape,30,0.1077842061762717,0.35864828311668795,0.06826207829288451,00:30
escape,40,0.10380193853783154,0.3239912840934706,0.06189420692764295,00:40
escape,50,0.09095349011946803,0.11711999398902997,0.05855060485385829,00:50
escape,60,0.081204448117815,0.017037343151251032,0.055939589751296113,01:00
escape,70,0.06568863175294913,7.51371252535878E-4,0.0437298068975881,01:10
escape,80,0.05898264332406642,1.878428131339695E-5,0.049477796979487565,01:20
escape,90,0.050586069576977984,0.0,0.041231497482906304,01:30
escape,100,0.048125328724922985,0.0,0.025734465399353822,01:40
escape,110,0.04564580359155459,0.0,0.03198963107671501,01:50
escape,120,0.043485611240513936,0.0,0.03687354421819821,02:00
escape,130,0.03029904575850928,0.0,0.03578405590202119,02:10
escape,140,0.03123825982417913,0.0,0.0197047110977534,02:20
escape,150,0.03595311443384176,0.0,0.007532496806672177,02:30
escape,160,0.031745435419640845,0.0,0.0071943797430310315,02:40
escape,170,0.027387482154932752,0.0,0.009561199188519047,02:50
escape,180,0.012021940040574048,0.0,0.006029754301600421,03:00
escape,190,0.007307085430911413,0.0,0.009204297843564505,03:10
escape,200,0.00732586971222481,0.0,0.005654068675332482,03:20
escape,210,0.007288301149598017,0.0,4.883913141483207E-4,03:30
escape,220,0.007344653993538207,0.0,0.0,03:40
escape,230,0.00732586971222481,0.0,0.0,03:50
escape,240,0.002235329476294237,0.0,0.0,04:00
