link_id,lane_km,Avg. speed limit,road_capacity_utilization,congestion_index,speed_performance_index,Simulated traffic volume,vol_car
5479,0.04911273438515296,50.01579739364941,0.0,1.0,1.0,0.0,0.0
5480,0.11763234413120705,50.00902679172714,0.0,1.0,1.0,0.0,0.0
5481,0.11763234413120705,49.97823419652668,5.3472275694497924E-5,0.9993852445247052,0.9993852445247052,3.0,3.0
5482,0.05212066413812021,50.00916601738613,0.0,1.0,1.0,0.0,0.0
5483,0.05212066413812021,50.00916601738613,0.0,1.0,1.0,0.0,0.0
5484,0.15431840489287088,50.00416360165033,0.0,1.0,1.0,0.0,0.0
5485,0.15431840489287088,49.84963684607579,3.3865774606515363E-4,0.9969098484353429,0.9969098484353429,19.0,19.0
5486,0.10569373489122191,50.00623545911406,0.0,1.0,1.0,0.0,0.0
5487,0.10569373489122191,49.904399844194714,1.9606501087982573E-4,0.9979653133591395,0.9979653133591395,11.0,11.0
5488,0.03319364988935238,47.93970137423943,0.009108110959962815,0.9580602311322827,0.9580602311322827,511.0,511.0
5489,0.03319364988935238,48.09657594102335,0.011781724744687715,0.9468021280126122,0.9611592680604711,661.0,661.0
5490,0.05212066413812021,50.00916601738613,0.0,1.0,1.0,0.0,0.0
5491,0.05212066413812021,49.742246582921474,6.416673083339752E-4,0.9946663430177539,0.9946663430177539,36.0,36.0
5492,0.12930876643046793,48.11254492480662,0.011959965663669372,0.9438110361408506,0.9620225487593312,671.0,671.0
5493,0.12930876643046793,49.633941146911056,0.008537740019221501,0.9924563565150908,0.9924563565150908,479.0,479.0
5494,0.1263552658374025,50.00868041058146,0.0,1.0,1.0,0.0,0.0
5495,0.1263552658374025,50.00868041058146,0.0,1.0,1.0,0.0,0.0
5496,0.022915359266670522,48.35504242808104,0.011140057436353728,0.9492133486361249,0.9660031617854602,625.0,625.0
5497,0.022915359266670522,49.14009687403739,0.009179407327555471,0.9817590565254924,0.9817590565254924,515.0,515.0
5498,0.27536673771693115,50.00606617135553,0.0,1.0,1.0,0.0,0.0
5499,0.27536673771693115,50.00606617135553,0.0,1.0,1.0,0.0,0.0
5500,0.1263552658374025,48.42234714619436,0.010961816517372071,0.9503892355083442,0.9682807476801326,615.0,615.0
5501,0.1263552658374025,49.537765336715154,0.009215055511351804,0.9905922020018917,0.9905922020018917,517.0,517.0
5502,0.2382288726612545,50.00431121103821,0.0,1.0,1.0,0.0,0.0
5503,0.2382288726612545,50.00431121103821,0.0,1.0,1.0,0.0,0.0
5504,0.1296244703289831,50.00515357740454,0.0,1.0,1.0,0.0,0.0
5505,0.1296244703289831,50.00515357740454,0.0,1.0,1.0,0.0,0.0
5506,0.27536673771693115,49.882333212752044,1.0694455138899585E-4,0.9975259692027598,0.9975259692027598,6.0,6.0
5507,0.27536673771693115,50.00606617135553,0.0,1.0,1.0,0.0,0.0
5508,0.05923667445999583,50.012201701685036,0.0,1.0,1.0,0.0,0.0
5509,0.05923667445999583,50.012201701685036,0.0,1.0,1.0,0.0,0.0
5510,0.2382288726612545,50.00431121103821,3.564818379633193E-5,1.0,1.0,2.0,2.0
5511,0.2382288726612545,50.00431121103821,0.0,1.0,1.0,0.0,0.0
5512,0.05923667445999583,50.012201701685036,3.564818379633193E-5,1.0,1.0,2.0,2.0
5513,0.05923667445999583,50.012201701685036,0.0,1.0,1.0,0.0,0.0
5514,0.1690494336704724,50.00640601591625,0.0,1.0,1.0,0.0,0.0
5515,0.1690494336704724,50.00640601591625,0.0,1.0,1.0,0.0,0.0
5516,0.09606379081292894,50.00428671581032,0.0,1.0,1.0,0.0,0.0
5517,0.09606379081292894,50.00428671581032,0.0,1.0,1.0,0.0,0.0
5518,0.0662695846713968,50.00429780277268,0.0,1.0,1.0,0.0,0.0
5519,0.0662695846713968,50.00429780277268,0.0,1.0,1.0,0.0,0.0
5520,0.09127653869481499,50.00693034566032,0.0,1.0,1.0,0.0,0.0
5521,0.09127653869481499,50.00693034566032,0.0,1.0,1.0,0.0,0.0
5522,0.16904943367047243,50.00640601591625,0.0,1.0,1.0,0.0,0.0
5523,0.16904943367047243,50.00640601591625,3.564818379633193E-5,1.0,1.0,2.0,2.0
5524,0.22216259255014384,50.005335324529064,0.0,1.0,1.0,0.0,0.0
5525,0.22216259255014384,50.00435865782351,0.003600466563429527,0.9999818590802135,0.9999818590802135,202.0,202.0
5526,0.09326549972717968,49.901894350867224,0.0037074111148185213,0.997876330461695,0.997876330461695,208.0,208.0
5527,0.09326549972717968,50.008310845672746,0.0,1.0,1.0,0.0,0.0
