bin,cumulative_traveltime_dijkstra-fastest-path,cumulative_traveltime_dijkstra-shortest-path
1,0.0006911115377231714,0.0007870992512958342
2,0.0017853714724515,0.0016125935880207
3,0.0028604338644653,0.0024188903820311
4,0.0037627183720483,0.0032635822614705
5,0.0049529660203493,0.0042426569399116
6,0.0063159915530812,0.0057592628143597
7,0.0081397581109617,0.0076598195430984
8,0.0107698214628527,0.010059512382415
9,0.0138030332117488,0.0132463044730274
10,0.0176425417546554,0.0171818007295066
11,0.0223075446342868,0.0221923593779996
12,0.0282971779612209,0.0272989057400652
13,0.034862737569591,0.0339028604338644
14,0.0421961988865425,0.0408331733538107
15,0.0508926857362257,0.0488385486657707
16,0.0594739873296218,0.057535035515454
17,0.0685928201190247,0.0673449798425801
18,0.0786715300441543,0.0772125167978498
19,0.0889038203110002,0.0872144365521213
20,0.0997696294874256,0.0980994432712612
21,0.1107890190055673,0.109195622960261
22,0.1223459397197158,0.1206181608754079
23,0.1338068727202918,0.1326550201574198
24,0.1449030524092916,0.1444423113841428
25,0.1564215780380111,0.1566135534651564
26,0.168170474179305,0.1679209061240161
27,0.1799961604914571,0.1795738145517373
28,0.1915146861201766,0.19178345171818
29,0.2033019773468996,0.2031867920906123
30,0.2151276636590516,0.2151084661163371
31,0.2261086580917642,0.226569399116913
32,0.2383950854290651,0.2382415050873488
33,0.249606450374352,0.2499904012286427
34,0.2607410251487809,0.261393741601075
35,0.2715684392397773,0.2727394893453637
36,0.2827606066423497,0.2839508542906507
37,0.2937607986177769,0.2952198118640813
38,0.3043578421961988,0.3063351890957957
39,0.3149356882319062,0.3169898253023612
40,0.3256095219811863,0.3286811288155116
41,0.3373200230370512,0.3393741601075062
42,0.3480706469571894,0.3501631791130735
43,0.3583413323094643,0.3610673833749279
44,0.3686312152044538,0.3716836244960644
45,0.3789019005567287,0.3824726435016317
46,0.3886926473411403,0.3925705509694758
47,0.3981570358994049,0.4025916682664618
48,0.4076982146285275,0.4118064887694374
49,0.4172009982722212,0.4216356306392781
50,0.4266653868304857,0.4309656363985409
