dist_group,main_mode,share
0 - 1000,car,0.023060571575805724
1000 - 2000,car,0.10087389689304962
2000 - 5000,car,0.4765207308955833
5000 - 10000,car,0.2888583514053207
10000 - 20000,car,0.1106864492302407
