purpose,bin,arrival,departure,traveltime,time
escape,10,0.016943421744684047,0.027838304906454277,0.3511533548726426,00:10
escape,20,0.07872492298444661,0.15480126230370425,0.07346532421669547,00:20
escape,30,0.10808475467728605,0.35797204898940566,0.07113607333383425,00:30
escape,40,0.10254339168983395,0.32493049815914044,0.059715230295288906,00:40
escape,50,0.09147944999624315,0.11631226989255392,0.05832519347809753,00:50
escape,60,0.0806784882410399,0.017074911713877827,0.0566721767225186,01:00
escape,70,0.06664663009993238,0.001070704034863626,0.04280937711323165,01:10
escape,80,0.05879480051093245,0.0,0.04893305282139905,01:20
escape,90,0.05060485385829138,0.0,0.04326019986475318,01:30
escape,100,0.047280036065820125,0.0,0.028251559095349012,01:40
escape,110,0.04568337215418138,0.0,0.028589676158990156,01:50
escape,120,0.04564580359155459,0.0,0.03965361785258096,02:00
escape,130,0.031820572544894433,0.0,0.034844841836351344,02:10
escape,140,0.03091892704185138,0.0,0.01711248027650462,02:20
escape,150,0.03535201743181306,0.0,0.007739123901119543,02:30
escape,160,0.03274100232925088,0.0,0.0074949282440453825,02:40
escape,170,0.026147719588248554,0.0,0.009279434968818093,02:50
escape,180,0.010763393192576453,0.0,0.005841911488466451,03:00
escape,190,0.007344653993538207,0.0,0.008997670749117139,03:10
escape,200,0.007307085430911413,0.0,0.006161244270794199,03:20
escape,210,0.007250732586971223,0.0,5.635284394019085E-4,03:30
escape,220,0.007382222556165001,0.0,0.0,03:40
escape,230,0.007288301149598017,0.0,0.0,03:50
escape,240,0.002573446539935382,0.0,0.0,04:00
