bin,cumulative_traveltime_fastest-ravenna-3,cumulative_traveltime_shortest-ravenna-3
1,0.000732586971222481,0.0008828612217296566
2,0.0018220752873995,0.0014839582237583
3,0.0026861522278157,0.002460740852055
4,0.0035314448869186,0.003362386355098
5,0.0048087760162296,0.0045082275152152
6,0.0061236757081674,0.0058419114884664
7,0.0075324968066721,0.0077579081824329
8,0.0099744533774137,0.0104440604102487
9,0.0128484484183635,0.0138252310466601
10,0.016943421744684,0.0177323615598467
11,0.0212825907280787,0.0226914118265835
12,0.0267488165902772,0.027969794875648
13,0.0329100608610714,0.0343376662408896
14,0.0399165977909685,0.0412314974829063
15,0.0486137200390713,0.0491396799158464
16,0.0572357051619205,0.0580997821023367
17,0.0661958073484108,0.0667593357878127
18,0.0755315951611691,0.076376887820272
19,0.0852806371628221,0.0862762040724321
20,0.0956683447291306,0.0962694417311593
21,0.1063566007964535,0.1067886392666616
22,0.1164061912991209,0.1171199939890299
23,0.1273010744608911,0.1279773085881734
24,0.1381020362160943,0.1390976031257044
25,0.149015703659178,0.150105191975355
26,0.1600232925088286,0.1614321136073333
27,0.1712375084529265,0.1718386054549552
28,0.1822075287399504,0.1824141558343977
29,0.1933841761214215,0.1937786460290029
30,0.2037530994064166,0.204053647907431
31,0.2144413554737395,0.2144789240363663
32,0.2252235329476294,0.2254301600420767
33,0.2355736719513111,0.2358930047336389
34,0.2462243594560072,0.2462431437373206
35,0.2567059884288827,0.2570253212112104
36,0.2668307160568036,0.2673754602148921
37,0.2772184236231121,0.2778383049064543
38,0.2866481328424374,0.2878691111278083
39,0.2960966263430761,0.2976181531294612
40,0.3062964910962506,0.3078555864452626
41,0.3163085130362912,0.3175107070403486
42,0.3261514764445112,0.3273161018859419
43,0.3361447141032384,0.3362949883537456
44,0.3452738748215493,0.3456495604478173
45,0.3545533097903674,0.3551544067923962
46,0.3634946276955443,0.3636824705086784
47,0.3723044556315275,0.372511082725975
48,0.3808513036291231,0.3812457735367046
49,0.3894357201893455,0.3901307385979414
50,0.3977759410924937,0.3988090765647308
51,0.4064730633405965,0.407337140281013
52,0.4152641069952663,0.4156210083402211
53,0.4238109549928618,0.4242429934630702
54,0.4320384702081297,0.4325268615222783
55,0.4403035539860244,0.4406792396122926
56,0.448568637763919,0.4491133819220078
57,0.4563077616650385,0.4570591329175748
58,0.4638026899090839,0.4647419039747541
59,0.4711661281839355,0.4723871064693067
60,0.4784544293335335,0.4800135246825459
61,0.4859681418588923,0.4873206101134573
62,0.4938763242918324,0.494928244045383
63,0.5008452926591027,0.5017845067247729
64,0.5077579081824328,0.5084153580284021
65,0.5142384852355548,0.5147832293936436
66,0.5206251408821098,0.5211511007588852
67,0.5268427379968441,0.5271620707791722
68,0.5327973551731909,0.5334172364565334
69,0.5387144037869109,0.5397663235404615
70,0.5451010594334659,0.5457021564354949
71,0.5509054023593055,0.5515440679239614
72,0.5568600195356523,0.5575174693816216
73,0.5632278909008939,0.5631903223382675
74,0.5693703508903747,0.5694079194530018
75,0.5750432038470206,0.5754376737546023
76,0.5810166053046808,0.5813922909309491
77,0.5870275753249679,0.5876850251709371
78,0.5931136824705084,0.5935269366594036
79,0.5985986926140203,0.5991997896160495
