purpose,bin,arrival,departure,traveltime,time
escape,10,0.004809653661993,0.012045605823116397,0.14422519485538832,00:10
escape,20,0.020763103085478712,0.0440598630107573,0.0794022287591523,00:20
escape,30,0.03879930431795246,0.11772915637815902,0.05831705065166513,00:30
escape,40,0.04807506495179611,0.22012754170871535,0.05260558692804844,00:40
escape,50,0.04964249672557061,0.2644450647370794,0.04427457969209628,00:50
escape,60,0.04717325489017242,0.1995147403001739,0.03935756768943379,01:00
escape,70,0.04541257810319284,0.0994997101324802,0.03871341764541687,01:10
escape,80,0.04541257810319284,0.034054065660361156,0.03598651579241191,01:20
escape,90,0.044918729736113196,0.0072144804929895005,0.034526442359306894,01:30
escape,100,0.03897107766302364,0.0011379984110965581,0.038241040946471135,01:40
escape,110,0.03738217422111524,1.5030167693728125E-4,0.04049556610053035,01:50
escape,120,0.038069267601399955,2.1471668133897324E-5,0.04094647113134219,02:00
escape,130,0.038691945977282975,0.0,0.03817662594206944,02:10
escape,140,0.039142851008094816,0.0,0.03985141605651343,02:20
escape,150,0.038777832649818565,0.0,0.028922336976359694,02:30
escape,160,0.03721040087604406,0.0,0.027548150215790265,02:40
escape,170,0.036201232473750886,0.0,0.023296759925278594,02:50
escape,180,0.03409700899662895,0.0,0.030747428767740965,03:00
escape,190,0.03409700899662895,0.0,0.03119833379855281,03:10
escape,200,0.033903763983423874,0.0,0.024348871663839564,03:20
escape,210,0.03104803212161553,0.0,0.02213728984604814,03:30
escape,220,0.025637171751873404,0.0,0.017864427887402574,03:40
escape,230,0.02559422841560561,0.0,0.01674790114443991,03:50
escape,240,0.025637171751873404,0.0,0.017606767869795804,04:00
escape,250,0.02559422841560561,0.0,0.014128357632104438,04:10
escape,260,0.023855023296759925,0.0,0.0076224421875335496,04:20
escape,270,0.02044102806347025,0.0,0.012711227535267215,04:30
escape,280,0.02011895304146179,0.0,0.0,04:40
escape,290,0.01941038799304318,0.0,0.0,04:50
escape,300,0.010456702381207996,0.0,0.0,05:00
escape,310,0.008438365576621648,0.0,0.0,05:10
escape,320,0.008373950572219955,0.0,0.0,05:20
escape,330,0.0038434285959676206,0.0,0.0,05:30
