purpose,bin,arrival,departure,traveltime,time
escape,10,0.01395022650163953,0.029056653841050818,0.364089539225535,00:10
escape,20,0.08074451752307663,0.15584070964195681,0.10733713679182699,00:20
escape,30,0.11662465171819027,0.3545935290661309,0.10426657063249872,00:30
escape,40,0.11518413919899922,0.3256695540097424,0.0813131408859152,00:40
escape,50,0.11091946397770996,0.11768608199548893,0.0710021039064425,00:50
escape,60,0.09967967550560095,0.016110995280426088,0.06374267897420345,01:00
escape,70,0.0935195890748498,0.001023522053109422,0.05667279516291059,01:10
escape,80,0.07617657650827347,1.8954112094618928E-5,0.04380295305066434,01:20
escape,90,0.06565704429575997,0.0,0.042476165204041016,01:30
escape,100,0.05917473795940029,0.0,0.029966451221592524,01:40
escape,110,0.04761272958168274,0.0,0.0177220948084687,01:50
escape,120,0.04313955912735268,0.0,0.00902215735703861,02:00
escape,130,0.030288671127201048,0.0,0.006520214560548911,02:10
escape,140,0.020963247976648534,0.0,0.002065998218313463,02:20
escape,150,0.014613620424951193,0.0,0.0,02:30
escape,160,0.007335241380617525,0.0,0.0,02:40
escape,170,0.0042646752212892585,0.0,0.0,02:50
escape,180,1.5163289675695143E-4,0.0,0.0,03:00
