purpose,bin,traveltime,time,cumulative_traveltime
escape,1,4.548986902708543E-4,00:01,4.548986902708543E-4
escape,2,8.339809321632328E-4,00:02,0.001288879622434087
escape,3,7.392103716901382E-4,00:03,0.002028089994124225
escape,4,8.150268200686139E-4,00:04,0.0028431168141928387
escape,5,8.529350442578517E-4,00:05,0.0036960518584506904
escape,6,0.0010993385014878977,00:06,0.004795390359938588
escape,7,0.001554237191758752,00:07,0.00634962755169734
escape,8,0.0018764570973672737,00:08,0.008226084649064613
escape,9,0.0026346215811520308,00:09,0.010860706230216644
escape,10,0.003089520271422885,00:10,0.013950226501639528
escape,11,0.003980363539869975,00:11,0.017930590041509504
escape,12,0.004909115032506302,00:12,0.022839705074015806
escape,13,0.005894728861426487,00:13,0.028734433935442293
escape,14,0.007354195492712144,00:14,0.03608862942815444
escape,15,0.00813131408859152,00:15,0.04421994351674596
escape,16,0.00902215735703861,00:16,0.05324210087378457
escape,17,0.009211698477984798,00:17,0.06245379935176937
escape,18,0.010481623988324267,00:18,0.07293542334009363
escape,19,0.010709073333459693,00:19,0.08364449667355332
escape,20,0.011050247351162834,00:20,0.09469474402471616
escape,21,0.0113156049204875,00:21,0.10601034894520366
escape,22,0.011050247351162834,00:22,0.11706059629636649
escape,23,0.011941090619609924,00:23,0.1290016869159764
escape,24,0.011713641274474497,00:24,0.1407153281904509
escape,25,0.01167573305028526,00:25,0.15239106124073618
escape,26,0.011960044731704544,00:26,0.1643511059724407
escape,27,0.011239788472109024,00:27,0.17559089444454973
escape,28,0.011978998843799162,00:28,0.1875698932883489
escape,29,0.011808411834947592,00:29,0.1993783051232965
escape,30,0.011941090619609924,00:30,0.21131939574290642
escape,31,0.011562008377717545,00:31,0.22288140412062396
escape,32,0.011334559032582119,00:32,0.23421596315320609
escape,33,0.0120169070679884,00:33,0.2462328702211945
escape,34,0.0113156049204875,00:34,0.257548475141682
escape,35,0.01167573305028526,00:35,0.26922420819196724
escape,36,0.01186527417123145,00:36,0.2810894823631987
escape,37,0.011637824826096021,00:37,0.29272730718929474
escape,38,0.010879660342311264,00:38,0.303606967531606
escape,39,0.011694687162379879,00:39,0.31530165469398586
escape,40,0.011201880247919786,00:40,0.32650353494190565
escape,41,0.011277696696298262,00:41,0.3377812316382039
escape,42,0.01148619192933907,00:42,0.349267423567543
escape,43,0.011220834360014404,00:43,0.3604882579275574
escape,44,0.011107109687446692,00:44,0.3715953676150041
escape,45,0.010462669876229649,00:45,0.38205803749123374
escape,46,0.010936522678595122,00:46,0.39299456016982887
escape,47,0.010917568566500502,00:47,0.40391212873632937
escape,48,0.011656778938190641,00:48,0.41556890767452
escape,49,0.011031293239068216,00:49,0.4266002009135882
escape,50,0.010822798006027408,00:50,0.4374229989196156
escape,51,0.009856138289201842,00:51,0.44727913720881746
escape,52,0.010462669876229649,00:52,0.4577418070850471
escape,53,0.010292082867378078,00:53,0.4680338899524252
escape,54,0.009931954737580318,00:54,0.47796584469000547
escape,55,0.01023522053109422,00:55,0.4882010652210997
escape,56,0.009856138289201842,00:56,0.4980572035103015
escape,57,0.010443715764135029,00:57,0.5085009192744365
escape,58,0.009628688944066415,00:58,0.518129608218503
escape,59,0.009628688944066415,00:59,0.5277582971625694
escape,60,0.00934437726264713,01:00,0.5371026744252165
escape,61,0.009496010159404083,01:01,0.5465986845846206
escape,62,0.009514964271498701,01:02,0.5561136488561192
escape,63,0.010367899315756553,01:03,0.5664815481718758
escape,64,0.010633256885081219,01:04,0.577114805056957
escape,65,0.01008358763433727,01:05,0.5871983926912943
escape,66,0.009609734831971797,01:06,0.5968081275232661
escape,67,0.009230652590079418,01:07,0.6060387801133454
escape,68,0.008169222312780758,01:08,0.6142080024261262
escape,69,0.008245038761159234,01:09,0.6224530411872854
escape,70,0.008169222312780758,01:10,0.6306222635000661
escape,71,0.008036543528118426,01:11,0.6386588070281846
escape,72,0.007695369510415284,01:12,0.6463541765385998
escape,73,0.008339809321632329,01:13,0.6546939858602322
escape,74,0.007467920165279858,01:14,0.6621619060255121
escape,75,0.007695369510415284,01:15,0.6698572755359273
escape,76,0.007278379044333668,01:16,0.677135654580261
escape,77,0.007638507174131428,01:17,0.6847741617543924
escape,78,0.007183608483860573,01:18,0.691957770238253
escape,79,0.007221516708049811,01:19,0.6991792869463028
escape,80,0.007619553062036809,01:20,0.7067988400083396
escape,81,0.006804526241968195,01:21,0.7136033662503077
escape,82,0.006273811103318865,01:22,0.7198771773536266
escape,83,0.007050929699198241,01:23,0.7269281070528248
escape,84,0.006482306336359673,01:24,0.7334104133891846
escape,85,0.006614985121022006,01:25,0.7400253985102065
escape,86,0.00636858166379196,01:26,0.7463939801739985
escape,87,0.006520214560548911,01:27,0.7529141947345475
escape,88,0.006880342690346671,01:28,0.7597945374248941
escape,89,0.006596031008927387,01:29,0.7663905684338215
escape,90,0.006065315870278057,01:30,0.7724558843040995
escape,91,0.006311719327508103,01:31,0.7787676036316076
escape,92,0.005856820637237249,01:32,0.7846244242688448
escape,93,0.006728709793589719,01:33,0.7913531340624346
escape,94,0.006084269982372676,01:34,0.7974374040448072
escape,95,0.00583786652514263,01:35,0.8032752705699499
escape,96,0.00617904054284577,01:36,0.8094543111127956
escape,97,0.006084269982372676,01:37,0.8155385810951683
escape,98,0.005364013722777157,01:38,0.8209025948179455
escape,99,0.005591463067912584,01:39,0.8264940578858581
escape,100,0.005136564377641729,01:40,0.8316306222634998
escape,101,0.005705187740480297,01:41,0.8373358100039802
escape,102,0.005098656153452491,01:42,0.8424344661574327
escape,103,0.005193426713925586,01:43,0.8476278928713583
escape,104,0.005079702041357872,01:44,0.8527075949127162
escape,105,0.004700619799465494,01:45,0.8574082147121816
escape,106,0.004018271764059213,01:46,0.8614264864762409
escape,107,0.004094088212437688,01:47,0.8655205746886786
escape,108,0.004435262230140829,01:48,0.8699558369188194
escape,109,0.004681665687370875,01:49,0.8746375026061902
escape,110,0.004605849238992399,01:50,0.8792433518451827
escape,111,0.004473170454330067,01:51,0.8837165222995127
escape,112,0.005022839705074016,01:52,0.8887393620045867
escape,113,0.004169904660816164,01:53,0.8929092666654028
escape,114,0.004018271764059213,01:54,0.896927538429462
escape,115,0.004113042324532307,01:55,0.9010405807539944
escape,116,0.004075134100343069,01:56,0.9051157148543375
escape,117,0.0042457211091946395,01:57,0.9093614359635321
escape,118,0.004340491669667735,01:58,0.9137019276331999
escape,119,0.004397354005951591,01:59,0.9180992816391514
escape,120,0.0042836293333838775,02:00,0.9223829109725353
escape,121,0.0037908224189237855,02:01,0.9261737333914591
escape,122,0.003847684755207642,02:02,0.9300214181466668
escape,123,0.003468602513315264,02:03,0.9334900206599821
escape,124,0.003108474383517504,02:04,0.9365984950434996
escape,125,0.002672529805341269,02:05,0.9392710248488408
escape,126,0.002956841486760553,02:06,0.9422278663356014
escape,127,0.002672529805341269,02:07,0.9449003961409427
escape,128,0.002558805132773555,02:08,0.9474592012737162
escape,129,0.002615667469057412,02:09,0.9500748687427736
escape,130,0.002596713356962793,02:10,0.9526715820997363
escape,131,0.00282416270209822,02:11,0.9554957448018345
escape,132,0.002615667469057412,02:12,0.9581114122708919
escape,133,0.002028089994124225,02:13,0.9601395022650161
escape,134,0.0023882181239219848,02:14,0.9625277203889381
escape,135,0.0019333194336511306,02:15,0.9644610398225892
