purpose,h,arrival,departure
escape,0,0.23210873252743006,0.9985613982350289
escape,1,0.2572305842440899,0.0014386017649711206
escape,2,0.2044961673072381,0.0
escape,3,0.06789341463938334,0.0
escape,4,0.05020076009705194,0.0
escape,5,0.05020076009705194,0.0
escape,6,0.05017928842891804,0.0
escape,7,0.05020076009705194,0.0
escape,8,0.03748953256178472,0.0
