bin,cumulative_traveltime_dijkstra-fastest-path
1,8.58866725355893e-05
2,0.0003006033538745625
3,0.0005797350396152277
4,0.0010091684022931
5,0.0013097717561677
6,0.0016962617825778
7,0.0021256951452558
8,0.0025551285079337
9,0.0028127885255405
10,0.0034998819058252
11,0.003972258604771
12,0.0045734653125201
13,0.0054108603697421
14,0.0061194254181607
15,0.0067635754621776
16,0.0077727438644708
17,0.0089966289481029
18,0.01002726901853
19,0.0112082107658944
20,0.012754170871535
21,0.0145363193266484
22,0.0168552594851093
23,0.0190668413029008
24,0.0214501964657634
25,0.0237906082923582
26,0.026538981813497
27,0.0292873553346359
28,0.03261546389539
29,0.0359435724561441
30,0.0394219826938354
31,0.043072166276598
32,0.0465935198505571
33,0.0502007600970519
34,0.0540227170248856
35,0.057909088957121
36,0.0619242908981598
37,0.0661112661842698
38,0.0703626564747815
39,0.0744208017520881
40,0.0787580787151353
41,0.083009469005647
42,0.0875614626500332
43,0.0920705129581516
44,0.0967083932750735
45,0.1012818585875936
46,0.1056620788869086
47,0.1103429025400983
48,0.1147660661756811
49,0.1195113048332724
50,0.124406845167801
51,0.1292379704979279
52,0.1343482275137955
53,0.1392008245120563
54,0.1442466665235222
55,0.1489060185085779
56,0.1536512571661692
57,0.1586326841732334
58,0.1634423378352264
59,0.1686170098554956
60,0.173340776844953
61,0.1782792605157494
62,0.1835827625448221
63,0.188413887874949
64,0.1934382582182809
65,0.1981405535396045
66,0.2029287355334636
67,0.2076954458591888
68,0.2120971378266377
69,0.216842376484229
70,0.221437313464883
71,0.2260966654499387
72,0.2307130740987267
73,0.2354368410881841
74,0.2400317780688381
75,0.244454941704421
76,0.2490069353488072
77,0.2535374573250595
78,0.2581753376419813
79,0.2628346896270371
80,0.2675584566164945
81,0.272260751937818
82,0.2767268589096686
83,0.2812359092177871
84,0.2857020161896377
85,0.2903398965065595
86,0.2949777768234813
87,0.2994438837953319
88,0.304038820775986
89,0.3085263994159705
90,0.3131213363966246
91,0.3177806883816803
92,0.3222253236853971
93,0.3267558456616494
94,0.3312863676379017
95,0.3358813046185557
96,0.3403688832585403
97,0.344813518562257
98,0.3493225688703755
99,0.3537886758422261
100,0.3576750477744615
101,0.3616043630429647
102,0.3655766216477357
103,0.3695918235887745
104,0.3735640821935456
105,0.3774075107895132
106,0.3812724110536147
107,0.3851802546539841
108,0.3891525132587551
109,0.3930818285272583
110,0.3966675971056191
111,0.400661327378524
112,0.4044618126382239
113,0.4082408262297898
114,0.4120413114894896
115,0.4159920984261267
116,0.4196637536770232
117,0.4231636355828485
118,0.4269641208425483
119,0.4307216627659803
120,0.434328903012475
121,0.4380005582633715
122,0.4417151568505357
123,0.4455800571146373
124,0.449187297361132
125,0.4528804242801623
126,0.4567453245442638
127,0.4606961114809009
128,0.4646683700856719
129,0.4684688553453718
130,0.4725484722908123
131,0.4764992592274494
132,0.4802782728190153
133,0.4841646447512507
134,0.4881798466922895
135,0.4918944452794537
136,0.4958452322160908
137,0.499774547484594
138,0.5035750327442938
139,0.5074828763446632
140,0.5113907199450325
141,0.5153200352135358
142,0.5191419921413695
143,0.5229854207373371
144,0.5269147360058404
145,0.5308225796062097
146,0.5347733665428468
147,0.5387456251476178
148,0.5426964120842549
149,0.5465827840164903
150,0.5503403259399223
151,0.5542911128765594
152,0.5583707298219999
153,0.5622141584179675
154,0.5660146436776673
155,0.5699869022824383
156,0.5737015008696026
157,0.5776952311425075
158,0.5815171880703413
159,0.5853606166663089
160,0.5892040452622765
161,0.5928327571769052
162,0.5967406007772745
163,0.6004122560281709
164,0.6040839112790674
165,0.6078629248706333
166,0.6117492968028687
167,0.6152706503768278
168,0.6190067206321259
169,0.6226139608786206
170,0.626307087797651
171,0.6300431580529491
172,0.63362892663131
173,0.6372361668778047
174,0.640929293796835
175,0.6445365340433298
176,0.6480364159491551
177,0.6517080712000515
178,0.6553797264509479
179,0.6591587400425138
180,0.6626586219483391
181,0.6664805788761728
182,0.6701092907908015
183,0.6737809460416979
184,0.6772808279475232
185,0.6806304081764112
186,0.6839370450690314
187,0.6874798703111245
188,0.690915337212548
189,0.69428638910957
190,0.6976789126747257
191,0.7010929079080154
192,0.7044424881369034
193,0.7079208983745947
194,0.7113348936078844
195,0.7146844738367724
196,0.718119940738196
197,0.7215768793077534
198,0.7249479312047753
199,0.7282760397655293
200,0.7316256199944173
201,0.7351255019002426
202,0.7384750821291306
203,0.7418676056942863
204,0.7453674876001116
205,0.748631181156464
206,0.7521095913941553
207,0.7554591716230433
208,0.758873166856333
209,0.762201275417087
210,0.7656796856547784
211,0.7689433792111308
212,0.7723144311081527
213,0.7749983896248899
214,0.7775535181328237
215,0.7801301183088913
216,0.7826852468168252
217,0.785240375324759
218,0.7878169755008266
219,0.7903721040087605
220,0.7929487041848281
221,0.7955038326927619
222,0.7980589612006957
223,0.8006355613767634
224,0.8031906898846972
225,0.805745818392631
226,0.8083009469005649
227,0.8108560754084987
228,0.8134326755845663
229,0.8159878040925002
230,0.818542932600434
231,0.8211195327765016
232,0.8236746612844354
233,0.8262512614605031
234,0.8288063899684369
235,0.8313615184763707
236,0.8339381186524384
237,0.8364932471603722
238,0.8388766023232348
239,0.841152599145428
240,0.8433641809632194
241,0.8458548944667516
242,0.8482597212977481
243,0.850557189788075
244,0.8530479032916072
245,0.855603031799541
246,0.8581581603074748
247,0.8607347604835425
248,0.8632898889914763
249,0.8657376591587406
250,0.8682927876666744
251,0.8708479161746082
252,0.873403044682542
253,0.8759581731904759
254,0.8785133016984097
255,0.8810899018744773
256,0.8836450303824112
257,0.8862216305584788
258,0.8887767590664126
259,0.8913318875743464
260,0.8939084877504141
261,0.8964636162583479
262,0.8987825564168088
263,0.9009941382346004
264,0.9028621733622494
265,0.9047302084898984
266,0.9066411869538152
267,0.9085521654177322
268,0.9105275588860507
269,0.912567367358771
270,0.9146715908358928
271,0.9166899276404792
272,0.9189015094582706
273,0.9209413179309908
274,0.923002598071845
275,0.9251282932171008
276,0.9270392716810176
277,0.9288858351405328
278,0.9308397569407176
279,0.9327507354046344
280,0.9348549588817564
281,0.9368947673544764
282,0.9389560474953308
283,0.940974384299917
284,0.9429497777682356
285,0.9449681145728218
286,0.9469005647048726
287,0.9490047881819944
288,0.9508728233096436
289,0.9525476134240876
290,0.9541579885341298
291,0.9558542503167076
292,0.9575934554355534
293,0.9591823588774618
294,0.9609430356644414
295,0.9626178257788852
296,0.9642711442251954
297,0.9659244626715056
298,0.9675992527859496
299,0.9688660812058494
300,0.9697464195993392
301,0.9705623429884273
302,0.9713997380456492
303,0.972301548107273
304,0.9730745281600932
305,0.9739119232173152
306,0.9747922616108052
307,0.9756296566680271
308,0.9764455800571152
309,0.977325918450605
310,0.978163313507827
311,0.9789577652287812
312,0.9797522169497354
313,0.9805681403388234
314,0.9814699504004472
315,0.982328817125803
