dist_group,main_mode,share
0 - 1000,car,0.013884112792297112
1000 - 2000,car,0.04489769601100413
2000 - 5000,car,0.29431740027510317
5000 - 10000,car,0.36425378266850067
10000 - 20000,car,0.2826040233837689
20000+,car,4.298486932599725E-5
