purpose,bin,arrival,departure,traveltime,time
escape,10,0.017646278360090223,0.028658617487063817,0.369908451638583,00:10
escape,20,0.08004321537557574,0.15474137114046893,0.0807066092988874,00:20
escape,30,0.11387630546447051,0.35463143729032015,0.07456547698023086,00:30
escape,40,0.11048351939953373,0.32633294793305406,0.06300346860251331,00:40
escape,50,0.09897837335810004,0.11808411834947592,0.058625068708656344,00:50
escape,60,0.08667715460869235,0.01656589397069694,0.07045243465569856,01:00
escape,70,0.06427339411285278,9.856138289201842E-4,0.04996303948141549,01:10
escape,80,0.06332568850812184,0.0,0.055099603859057225,01:20
escape,90,0.0628897439299456,0.0,0.03864743456092799,01:30
escape,100,0.05390549479709623,0.0,0.033321329062340074,01:40
escape,110,0.05182054246668815,0.0,0.0329422468204477,01:50
escape,120,0.04704410621884418,0.0,0.026459940484088024,02:00
escape,130,0.03690365624822305,0.0,0.02136128433063553,02:10
escape,140,0.031539642525445895,0.0,0.01783581948103641,02:20
escape,150,0.027976269451657536,0.0,0.006273811103318865,02:30
escape,160,0.021437100779014007,0.0,8.339809321632328E-4,02:40
escape,170,0.01751359957542789,0.0,0.0,02:50
escape,180,0.012149585852650732,0.0,0.0,03:00
escape,190,0.0015163289675695143,0.0,0.0,03:10
