Info,Dijkstra - Fastest Path
Number of cars,36243.0
Total time traveled [h],8765.0
Total distance traveled [km],74423.0
Avg. speed [km/h],8.49
Avg. distance per trip [km],2.05
Avg. traveltime per trip [minutes],14.51
