bin,cumulative_traveltime_dijkstra-fastest-path
1,0.0006621968380100985
2,0.0014347598156885
3,0.0020693651187815
4,0.0032282095852992
5,0.004442237121651
6,0.0058218138675054
7,0.0077808128466186
8,0.0098225864304831
9,0.0126645145269431
10,0.0163341886709157
11,0.0210523411417377
12,0.027150070358414
13,0.0346549678558618
14,0.0431255690754076
15,0.0530033385757249
16,0.0646193747758187
17,0.0770631570234252
18,0.0911072482962227
19,0.1057859448721132
20,0.1222580912176144
21,0.1399166735645504
22,0.1577408051209888
23,0.1766410065391937
24,0.1958171233065695
25,0.2156278453770383
26,0.2356592997268438
27,0.2564357255194106
28,0.2768810528929724
29,0.2976850702204563
30,0.3188201859669453
31,0.339541428689678
32,0.3607317275060012
33,0.3820323924619926
34,0.4025604944403057
35,0.4232265540932042
36,0.4428993184890875
37,0.4629583643738101
38,0.4814171012333416
39,0.500179344976961
40,0.5196589686284248
41,0.5379521562784537
42,0.5548105841127942
43,0.5726347156692326
44,0.5894931435035731
45,0.6061032475236597
46,0.6217200562867312
47,0.6365918936070414
48,0.6501117457164143
49,0.6628590348481087
50,0.6754683663052177
51,0.6875810501338191
52,0.6996937339624205
53,0.7115856855116852
54,0.7235880032006182
55,0.7341555610738627
56,0.7444747951328534
57,0.7544905223077562
58,0.7644234748779076
59,0.7737494136798831
60,0.7830201694120246
61,0.7913252214220678
62,0.7995474988273599
63,0.8084043815357449
64,0.8173716303837983
65,0.8264492453715201
66,0.8352785365449881
67,0.8441630107882903
68,0.8509505283778938
69,0.85704825759457
70,0.8627597053224071
71,0.8686367022597468
72,0.874375741522501
73,0.880087189250338
74,0.8857158623734238
75,0.8907099301934166
76,0.8953453080594873
77,0.9000910520652263
78,0.9047816130011312
79,0.9099136384957096
80,0.9149904809204537
81,0.919846591065861
82,0.9244543773970144
83,0.929034572193251
84,0.9336975415942388
85,0.9382225533206412
86,0.942664790442292
87,0.94732775984328
88,0.95149408161576
89,0.9558259525977428
90,0.9600474574400572
91,0.9645172860966256
92,0.968435284054852
93,0.9717186767099854
94,0.9749744778302016
95,0.9765471953204756
96,0.977623265182242
97,0.9786441519741744
98,0.9797478133708578
99,0.9808514747675412
100,0.9817895869547224
101,0.9830587975609084
102,0.9839969097480892
103,0.9852109372844412
104,0.9862318240763732
105,0.9871699362635544
106,0.988383963799906
107,0.9894876251965896
108,0.9904809204536048
109,0.9916397649201224
110,0.9926330601771376
111,0.9937367215738212
112,0.9948955660403388
113,0.9958612697624368
114,0.9970201142289546
115,0.998068592555804
116,0.9991446624175704
117,0.9999724084650832
118,1.0000000000000002
