link_id,lane_km,road_capacity_utilization,avg_speed,congestion_index,speed_performance_index,simulated_traffic_volume,vol_car
0,0.88376379025308,0.0,50.005495487726144,1.0,1.0,0.0,0.0
2,0.3157281890426809,4.81150449971901E-5,69.9890074232544,1.0,1.0,3.0,3.0
4,0.6016043705314077,1.7824091898165964E-5,50.00405739548088,1.0,1.0,1.0,1.0
6,0.5131505576026719,0.0,50.00655100886847,1.0,1.0,0.0,0.0
8,0.03653207699745162,0.0,50.00588486343188,1.0,1.0,0.0,0.0
9,0.03653207699745162,0.0,50.00588486343188,1.0,1.0,0.0,0.0
10,0.42003319721779653,0.19274584199305073,50.786363178581155,0.8174306388730109,0.8461773581951424,11485.0,11485.0
12,0.02994433853893412,0.0,50.02302493743055,1.0,1.0,0.0,0.0
13,0.02994433853893412,0.0,50.02302493743055,1.0,1.0,0.0,0.0
14,0.03653207699745162,0.002263659671067079,48.75097724557656,0.9624763564820865,0.9749054259283458,127.0,127.0
15,0.03653207699745162,0.0,50.00588486343188,1.0,1.0,0.0,0.0
16,1.59339228551032,0.0,50.004465260013184,1.0,1.0,0.0,0.0
17,1.59339228551032,0.0,50.004465260013184,1.0,1.0,0.0,0.0
18,1.9317042812326026,0.0,60.01255986845967,1.0,1.0,0.0,0.0
20,0.6361727471132728,3.859951559286169E-4,59.975901313028345,0.9993291124041188,0.9993291124041188,23.0,23.0
22,0.1092140930199706,0.0,69.98411087075367,1.0,1.0,0.0,0.0
24,0.3125562400480085,0.15018309378456265,59.55072298636482,0.8316094709620294,0.8508700702199821,9364.0,9364.0
26,0.019157259413579392,0.0077534799757022,48.12663550343901,0.9436958654708085,0.9609327544921438,435.0,435.0
28,0.8187464748017953,0.001033797330093627,49.96820403421869,0.9992673823495019,0.9992673823495019,58.0,58.0
30,0.036365591175723355,0.15699933407444405,52.02255439926171,0.8598385157513311,0.8663247758672958,9355.0,9355.0
32,0.08286339345864395,0.0,39.998420012217515,1.0,1.0,0.0,0.0
34,0.12153656527525922,0.008145609997461847,49.91909291837834,0.9982009395953547,0.9982009395953547,457.0,457.0
36,0.3416098612215453,0.0,50.00998334340056,1.0,1.0,0.0,0.0
37,0.3416098612215453,0.0,50.00998334340056,1.0,1.0,0.0,0.0
38,0.2436087502030316,0.0,50.00521728423502,1.0,1.0,0.0,0.0
39,0.2436087502030316,0.0,50.00521728423502,1.0,1.0,0.0,0.0
40,0.08848807171249772,0.0,50.00895732574439,1.0,1.0,0.0,0.0
