purpose,bin,arrival,departure,traveltime,time
escape,10,0.016717526867453893,0.02882920449591539,0.37877897609886463,00:10
escape,20,0.08267783695672776,0.1578308914118918,0.08099092098030668,00:20
escape,30,0.11486191929339071,0.3536837316855892,0.07011126063799542,00:30
escape,40,0.11264428817832028,0.32208722682385943,0.05870088515703482,00:40
escape,50,0.10284501222540231,0.11884228283326068,0.06586553952880077,00:50
escape,60,0.08224189237855152,0.017608370135900983,0.06806421653177656,01:00
escape,70,0.06414071532819045,0.0010993385014878977,0.05813226179419625,01:10
escape,80,0.0636858166379196,1.8954112094618928E-5,0.04147159726302621,01:20
escape,90,0.06243484523967475,0.0,0.0398604977349836,01:30
escape,100,0.055573456661422695,0.0,0.036391895221668344,01:40
escape,110,0.0494702325669554,0.0,0.03428798877916564,01:50
escape,120,0.04643757463181637,0.0,0.031520688413351275,02:00
escape,130,0.03498929092666654,0.0,0.02972004776436248,02:10
escape,140,0.032771659811596125,0.0,0.006103224094467295,02:20
escape,150,0.03487556625409883,0.0,0.0,02:30
escape,160,0.02968213954017324,0.0,0.0,02:40
escape,170,0.01395022650163953,0.0,0.0,02:50
