dist_group,main_mode,share
0 - 1000,car,0.023483581301170876
1000 - 2000,car,0.10231974645655427
2000 - 5000,car,0.49559820406725946
5000 - 10000,car,0.30392200017607185
10000 - 20000,car,0.07467646799894356
